	Array	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4
	Sample name	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi
ID																																																													
AMPE_5_17		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANXA2_17_29		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ART_004_EAIYAAPFAKKKXC		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B3AT_39_51		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C1R_199_211		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALM_93_105		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CALM_95_107		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBL_693_705		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD3Z_116_128		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD3Z_146_158		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
