Feature,GNUR 1,GNUR 2,GNUR 3,GNUR 4,GNUR 5,CTRL 1,CTRL 2,CTRL 3,CTRL 5,CTRL 6
PC 18:0/22:4,2392331.29,1167658.1,630154.53,1538526.97,928096.15,2466340.18,5887068.9,5339121.08,1194343.34,1460035.66
PC 18:0/22:5,7189822.26,3420676.79,1843157.21,5273560.9,3059846.21,5066962.69,13236333.53,14440092.18,2485146.6,2186667.96
PC 18:0/22:6,37522397.37,18224791.51,9424100.19,33372299.43,14772852.28,34178121.31,60513535.35,66075007.11,15745367.83,14996958.12
PC 18:1/16:1,108769202,66012217.13,54519193.49,71379841.96,34390034.96,133046979,69730023.16,82701762.73,89430282.02,86823348.97
PC 18:1/18:1,120312828.9,53670474.01,35723674.08,60047061.47,41653045.62,161106517.4,66091463.08,71577517.86,109416706,117636229.4
PC 18:1/18:2,293069516.3,105964444.1,72363534.27,177849518,114321396.5,286982513.9,95569373.34,86097806.77,146482185.1,163352013.4
PC 18:1/18:3,5465128.2,2410086.3,1494835.2,4430766.24,2905165.16,4726416.86,2702108.7,2618880.42,2354567.9,3150235.44
PC 18:1/20:1,4327538.71,1837563.85,1494407.81,2199841.03,2448933.05,2490828.74,1150092.58,994641.58,2200342.03,2110315.72
PC 18:1/20:2,6666374.99,2080864.67,1350709.59,2237486.38,1520631.11,9940259.82,2689726.02,2095478.29,5022508.43,5896586.87
PC 18:1/20:3,36572277.53,9896624.57,7061942.3,10723262.44,4693715.22,85997026.17,18673354.73,12906059.72,43367123.83,59902111.35
PC 18:1/20:4,130730314.7,49947971.85,29276539.98,78028288.88,29321175.33,97986573.36,122408989.8,106275852.6,42835255.99,53487217.26
PC 18:1/20:5,3020986.58,1103552.92,563061.28,1545496.22,857396.53,1334764.48,573127.49,389902.14,469849.32,847488.81
PC 18:1/22:4,1354174.22,502873.81,265374.86,687290.7,588961.68,1538135.73,1914744.21,1507757.52,711533.59,903586.6
PC 18:1/22:5,4652211.48,1558255.95,1069515.54,2597268.47,512608.07,3242206.15,3783349.93,3460471.3,1353641.85,1519216.14
PC 18:1/22:6,30185322.69,11397168.26,7934364.67,21766265.78,6443871.19,25221248.3,22672489.3,25673202.69,11221374.81,11497596.68
PC 18:2/16:1,144938545.2,67028240.34,55278359.84,99229172.14,49718533.49,91714343.09,43150315.99,41425327.25,50651840.67,49021764.97
PC 18:2/18:2,182449878.3,87793758.78,55484849.2,182323103.5,96404587.56,101580127.3,49878758.24,35362295.85,54833407.36,66557261.24
PC 18:2/18:3,6108633.65,3271236.01,2195866.08,7979576.12,4618233.7,1287511.44,1514503.35,1296488.04,738699.12,842240.28
PC 18:2/20:1,9636105.31,5123073.23,3377194.68,6078864.27,3860910.57,3874594.5,2771699.94,1856436.27,3011988.37,3130847.62
PC 18:2/20:2,8933397.88,3682965.75,2349569.4,4348270.27,2255682.89,4259046.69,2797299.9,1870098.73,2724572.71,3032526.69
PC 18:2/20:3,18425045.01,6354272.93,3763779.53,8587637.37,3056513.77,22528544.48,6960198.57,3245520.34,10921631.91,17088511.16
PC 18:2/20:4,57759285.11,25119522.64,14604110.03,46576100.08,16265857.19,26445301.89,43281668.77,24666916.58,11311682.81,17153743.19
PC 18:2/20:5,1387630.13,620162.43,298174.18,1252669.4,858516.27,275193.42,143232.99,96604.69,110055.59,218526.42
PC 18:2/22:4,670238.41,414659.07,211342.04,501749.27,901879.04,421468.49,741449.52,506899.85,338460.81,302772.85
PC 18:2/22:5,2411548.63,835337.17,588107.21,1807770.9,737993.84,660267.71,1075032.14,840564.08,268291.56,393009.13
PC 18:2/22:6,13872005.48,5490219.92,3422413.87,11100787.33,2955273.95,4311354.78,4693112.8,3951946.44,1917157.61,2495360.46
