	Exposure time	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0	5.0	10.0	25.0	50.0	100.0
	Cycle	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124	124
	Array	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4	A1	A1	A1	A1	A1	A2	A2	A2	A2	A2	A3	A3	A3	A3	A3	A4	A4	A4	A4	A4
	Sample name	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Flox PPARa	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	Hep PPARaKO	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	RNAi VEH	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi	Ugt1a1 RNAi
ID
#REF		72.0	143.0	365.0	726.0	1459.0	73.0	149.0	370.0	740.0	1482.0	81.0	158.0	410.0	819.0	1641.0	78.0	156.0	405.0	806.0	1631.0	85.0	165.0	412.0	840.0	1687.0	78.0	157.0	399.0	807.0	1577.0	77.0	158.0	403.0	817.0	1632.0	79.0	156.0	395.0	794.0	1582.0	79.0	158.0	398.0	811.0	1645.0	77.0	150.0	384.0	771.0	1545.0	76.0	151.0	387.0	780.0	1574.0	78.0	147.0	378.0	778.0	1576.0
#REF		73.0	141.0	374.0	737.0	1486.0	72.0	144.0	352.0	728.0	1432.0	76.0	149.0	379.0	791.0	1543.0	72.0	152.0	377.0	770.0	1523.0	78.0	165.0	409.0	833.0	1649.0	77.0	156.0	399.0	799.0	1606.0	79.0	163.0	401.0	811.0	1578.0	75.0	153.0	385.0	769.0	1554.0	78.0	150.0	378.0	761.0	1558.0	76.0	153.0	383.0	770.0	1532.0	76.0	154.0	385.0	779.0	1537.0	72.0	146.0	369.0	747.0	1496.0
#REF		78.0	152.0	389.0	765.0	1557.0	79.0	162.0	408.0	820.0	1626.0	88.0	175.0	445.0	892.0	1809.0	80.0	165.0	415.0	824.0	1653.0	89.0	176.0	445.0	887.0	1793.0	85.0	172.0	438.0	883.0	1766.0	91.0	183.0	458.0	921.0	1816.0	87.0	180.0	436.0	877.0	1762.0	85.0	172.0	440.0	887.0	1746.0	88.0	164.0	429.0	862.0	1723.0	88.0	175.0	439.0	880.0	1784.0	83.0	162.0	414.0	828.0	1682.0
#REF		83.0	163.0	415.0	831.0	1672.0	84.0	166.0	435.0	861.0	1750.0	91.0	186.0	468.0	931.0	1875.0	90.0	178.0	444.0	898.0	1789.0	92.0	188.0	472.0	942.0	1884.0	89.0	186.0	471.0	943.0	1839.0	87.0	182.0	454.0	928.0	1814.0	86.0	177.0	455.0	908.0	1866.0	86.0	174.0	475.0	913.0	1821.0	88.0	177.0	460.0	920.0	1806.0	91.0	183.0	459.0	907.0	1845.0	84.0	171.0	435.0	873.0	1791.0
pTY3H_64_78		422.0	833.0	2095.0	3774.0	3465.0	448.0	901.0	2258.0	3759.0	3404.0	431.0	860.0	2148.0	3770.0	3448.0	412.0	833.0	2053.0	3757.0	3434.0	384.0	758.0	1947.0	3776.0	3450.0	365.0	732.0	1809.0	3661.0	3495.0	393.0	787.0	1981.0	3785.0	3465.0	383.0	758.0	1910.0	3746.0	3341.0	364.0	715.0	1832.0	3647.0	3515.0	350.0	688.0	1725.0	3436.0	3543.0	336.0	668.0	1686.0	3353.0	3535.0	312.0	633.0	1581.0	3169.0	3612.0
ATF2_47_59		-2.0	-2.0	-10.0	-17.0	-36.0	-1.0	-5.0	-6.0	-17.0	-31.0	-2.0	0.0	-7.0	-10.0	-23.0	0.0	-3.0	-3.0	-7.0	-14.0	-1.0	-2.0	-9.0	-17.0	-26.0	0.0	-4.0	-9.0	-11.0	-28.0	-2.0	-3.0	-2.0	-8.0	-16.0	-1.0	-1.0	-4.0	-7.0	-13.0	-2.0	-5.0	-3.0	-13.0	-21.0	-2.0	0.0	-3.0	-9.0	-26.0	-2.0	-1.0	-4.0	-5.0	-11.0	-1.0	-1.0	-6.0	-10.0	-6.0
CDN1A_139_151		266.0	555.0	1368.0	2731.0	3616.0	250.0	506.0	1269.0	2549.0	3642.0	103.0	202.0	526.0	1041.0	2063.0	91.0	195.0	480.0	984.0	1979.0	260.0	527.0	1334.0	2631.0	3609.0	219.0	423.0	1078.0	2143.0	3669.0	90.0	181.0	464.0	935.0	1844.0	83.0	163.0	411.0	827.0	1643.0	233.0	485.0	1192.0	2377.0	3656.0	191.0	387.0	950.0	1912.0	3715.0	86.0	177.0	428.0	877.0	1734.0	86.0	172.0	443.0	905.0	1803.0
FIBA_569_581		0.0	1.0	1.0	4.0	6.0	-1.0	-1.0	1.0	0.0	0.0	-1.0	2.0	1.0	0.0	5.0	0.0	1.0	2.0	2.0	7.0	2.0	1.0	4.0	2.0	10.0	0.0	1.0	-1.0	3.0	12.0	1.0	0.0	0.0	3.0	5.0	-1.0	0.0	2.0	6.0	10.0	1.0	-1.0	3.0	2.0	9.0	-1.0	2.0	1.0	3.0	-2.0	-1.0	0.0	0.0	1.0	7.0	0.0	2.0	1.0	3.0	6.0
IKKB_173_185_C179A		0.0	3.0	-3.0	0.0	2.0	0.0	-1.0	0.0	-1.0	3.0	-1.0	2.0	-2.0	0.0	-2.0	-1.0	-1.0	4.0	0.0	1.0	1.0	0.0	2.0	-2.0	2.0	1.0	0.0	0.0	-2.0	-1.0	-2.0	-1.0	0.0	-1.0	-3.0	-1.0	1.0	-1.0	0.0	-2.0	1.0	-2.0	1.0	0.0	0.0	-1.0	1.0	1.0	3.0	-3.0	0.0	0.0	0.0	-3.0	-1.0	-2.0	0.0	-2.0	-2.0	-1.0
LIPS_944_956		35.0	67.0	165.0	347.0	675.0	25.0	50.0	124.0	253.0	510.0	3.0	7.0	15.0	35.0	69.0	1.0	5.0	19.0	36.0	71.0	46.0	86.0	215.0	443.0	928.0	28.0	60.0	150.0	311.0	606.0	3.0	5.0	15.0	32.0	64.0	1.0	4.0	11.0	27.0	52.0	34.0	63.0	173.0	344.0	685.0	24.0	46.0	120.0	233.0	478.0	3.0	6.0	16.0	33.0	64.0	2.0	7.0	16.0	34.0	71.0
